 WARN  2018-12-06 08:43:25,787  HypercubeBranchHandler.java  102  Infeasibility detected for node Node413
 WARN  2018-12-06 08:43:28,213  HypercubeBranchHandler.java  102  Infeasibility detected for node Node318
 WARN  2018-12-06 08:43:29,659  HypercubeBranchHandler.java  102  Infeasibility detected for node Node414
 WARN  2018-12-06 08:43:31,245  HypercubeBranchHandler.java  102  Infeasibility detected for node Node46
 WARN  2018-12-06 08:43:32,210  HypercubeBranchHandler.java  102  Infeasibility detected for node Node178
 WARN  2018-12-06 08:43:34,002  HypercubeBranchHandler.java  102  Infeasibility detected for node Node406
 WARN  2018-12-06 08:43:34,151  HypercubeBranchHandler.java  102  Infeasibility detected for node Node960
 WARN  2018-12-06 08:43:34,456  HypercubeBranchHandler.java  102  Infeasibility detected for node Node892
 WARN  2018-12-06 08:43:34,737  HypercubeBranchHandler.java  102  Infeasibility detected for node Node992
 WARN  2018-12-06 08:43:34,877  HypercubeBranchHandler.java  102  Infeasibility detected for node Node859
 WARN  2018-12-06 08:43:35,124  HypercubeBranchHandler.java  102  Infeasibility detected for node Node956
 WARN  2018-12-06 08:43:35,893  HypercubeBranchHandler.java  102  Infeasibility detected for node Node623
 WARN  2018-12-06 08:43:36,401  HypercubeBranchHandler.java  102  Infeasibility detected for node Node459
 WARN  2018-12-06 08:43:36,732  HypercubeBranchHandler.java  102  Infeasibility detected for node Node523
 WARN  2018-12-06 08:43:37,096  HypercubeBranchHandler.java  102  Infeasibility detected for node Node620
 WARN  2018-12-06 08:43:37,912  HypercubeBranchHandler.java  102  Infeasibility detected for node Node760
 WARN  2018-12-06 08:43:38,097  HypercubeBranchHandler.java  102  Infeasibility detected for node Node567
 WARN  2018-12-06 08:43:38,159  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1340
 WARN  2018-12-06 08:43:39,280  HypercubeBranchHandler.java  102  Infeasibility detected for node Node965
 WARN  2018-12-06 08:43:39,675  HypercubeBranchHandler.java  102  Infeasibility detected for node Node558
 WARN  2018-12-06 08:43:40,776  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1171
 WARN  2018-12-06 08:43:40,803  HypercubeBranchHandler.java  102  Infeasibility detected for node Node775
 WARN  2018-12-06 08:43:40,876  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1144
 WARN  2018-12-06 08:43:41,173  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1759
 WARN  2018-12-06 08:43:41,343  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1075
 WARN  2018-12-06 08:43:41,387  HypercubeBranchHandler.java  102  Infeasibility detected for node Node247
 WARN  2018-12-06 08:43:42,067  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2172
 WARN  2018-12-06 08:43:43,424  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1751
 WARN  2018-12-06 08:43:43,626  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1225
 WARN  2018-12-06 08:43:43,912  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1886
 WARN  2018-12-06 08:43:44,043  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1036
 WARN  2018-12-06 08:43:44,046  HypercubeBranchHandler.java  102  Infeasibility detected for node Node970
 WARN  2018-12-06 08:43:44,332  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2039
 WARN  2018-12-06 08:43:44,479  HypercubeBranchHandler.java  102  Infeasibility detected for node Node941
 WARN  2018-12-06 08:43:44,671  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1576
 WARN  2018-12-06 08:43:44,898  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1018
 WARN  2018-12-06 08:43:44,973  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2332
 WARN  2018-12-06 08:43:45,015  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1977
 WARN  2018-12-06 08:43:45,111  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1042
 WARN  2018-12-06 08:43:45,177  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1945
 WARN  2018-12-06 08:43:45,183  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1792
 WARN  2018-12-06 08:43:45,428  HypercubeBranchHandler.java  102  Infeasibility detected for node Node643
 WARN  2018-12-06 08:43:45,605  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1946
 WARN  2018-12-06 08:43:45,818  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1200
 WARN  2018-12-06 08:43:45,895  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1474
 WARN  2018-12-06 08:43:45,904  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1888
 WARN  2018-12-06 08:43:46,211  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2010
 WARN  2018-12-06 08:43:46,309  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1749
 WARN  2018-12-06 08:43:46,513  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1800
 WARN  2018-12-06 08:43:46,521  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1035
 WARN  2018-12-06 08:43:46,569  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1619
 WARN  2018-12-06 08:43:46,576  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1422
 WARN  2018-12-06 08:43:46,630  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2264
 WARN  2018-12-06 08:43:46,636  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2106
 WARN  2018-12-06 08:43:46,722  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1864
 WARN  2018-12-06 08:43:46,925  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1984
 WARN  2018-12-06 08:43:47,189  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1845
 WARN  2018-12-06 08:43:47,351  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2024
 WARN  2018-12-06 08:43:47,357  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1307
 WARN  2018-12-06 08:43:47,413  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1733
 WARN  2018-12-06 08:43:47,441  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1747
 WARN  2018-12-06 08:43:47,479  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2298
 WARN  2018-12-06 08:43:47,540  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1424
 WARN  2018-12-06 08:43:47,853  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1326
 WARN  2018-12-06 08:43:48,195  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1875
 WARN  2018-12-06 08:43:48,268  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2684
 WARN  2018-12-06 08:43:48,327  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2623
 WARN  2018-12-06 08:43:48,440  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2037
 WARN  2018-12-06 08:43:48,536  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2392
 WARN  2018-12-06 08:43:48,643  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1700
 WARN  2018-12-06 08:43:48,867  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2522
 WARN  2018-12-06 08:43:48,941  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2368
 WARN  2018-12-06 08:43:49,067  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1796
 WARN  2018-12-06 08:43:49,129  HypercubeBranchHandler.java  102  Infeasibility detected for node Node812
 WARN  2018-12-06 08:43:49,241  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2456
 WARN  2018-12-06 08:43:49,373  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2682
 WARN  2018-12-06 08:43:49,380  HypercubeBranchHandler.java  102  Infeasibility detected for node Node805
 WARN  2018-12-06 08:43:49,453  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1646
 WARN  2018-12-06 08:43:49,527  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1941
 WARN  2018-12-06 08:43:49,638  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1956
 WARN  2018-12-06 08:43:49,760  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2311
 WARN  2018-12-06 08:43:49,890  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2327
 WARN  2018-12-06 08:43:49,950  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2584
 WARN  2018-12-06 08:43:50,343  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1949
 WARN  2018-12-06 08:43:50,585  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2165
 WARN  2018-12-06 08:43:50,593  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2455
 WARN  2018-12-06 08:43:50,711  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2521
 WARN  2018-12-06 08:43:50,813  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2291
 WARN  2018-12-06 08:43:51,053  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2503
 WARN  2018-12-06 08:43:51,057  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1954
 WARN  2018-12-06 08:43:51,199  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2583
 WARN  2018-12-06 08:43:51,242  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1957
 WARN  2018-12-06 08:43:51,362  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1606
 WARN  2018-12-06 08:43:51,615  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2270
 WARN  2018-12-06 08:43:51,624  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2077
 WARN  2018-12-06 08:43:51,649  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2185
 WARN  2018-12-06 08:43:51,715  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2711
 WARN  2018-12-06 08:43:52,052  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2599
 WARN  2018-12-06 08:43:52,058  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1670
 WARN  2018-12-06 08:43:52,109  HypercubeBranchHandler.java  102  Infeasibility detected for node Node879
 WARN  2018-12-06 08:43:52,232  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1420
 WARN  2018-12-06 08:43:52,444  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1766
 WARN  2018-12-06 08:43:52,450  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2313
 WARN  2018-12-06 08:43:52,501  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2269
 WARN  2018-12-06 08:43:52,550  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2772
 WARN  2018-12-06 08:43:52,581  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2839
 WARN  2018-12-06 08:43:52,640  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2430
 WARN  2018-12-06 08:43:52,730  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2663
 WARN  2018-12-06 08:43:52,785  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1327
 WARN  2018-12-06 08:43:52,801  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3032
 WARN  2018-12-06 08:43:52,852  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2362
 WARN  2018-12-06 08:43:52,904  HypercubeBranchHandler.java  102  Infeasibility detected for node Node486
 WARN  2018-12-06 08:43:53,035  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2242
 WARN  2018-12-06 08:43:53,107  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1488
 WARN  2018-12-06 08:43:53,243  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1859
 WARN  2018-12-06 08:43:53,320  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2409
 WARN  2018-12-06 08:43:53,326  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2868
 WARN  2018-12-06 08:43:53,455  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1795
 WARN  2018-12-06 08:43:53,630  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1699
 WARN  2018-12-06 08:43:53,702  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2932
 WARN  2018-12-06 08:43:53,710  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2887
 WARN  2018-12-06 08:43:53,747  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2625
 WARN  2018-12-06 08:43:53,952  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3092
 WARN  2018-12-06 08:43:54,306  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3252
 WARN  2018-12-06 08:43:54,550  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3380
 WARN  2018-12-06 08:43:54,676  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2243
 WARN  2018-12-06 08:43:54,736  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1546
 WARN  2018-12-06 08:43:54,819  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2437
 WARN  2018-12-06 08:43:55,642  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1411
 WARN  2018-12-06 08:43:56,031  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2124
 WARN  2018-12-06 08:43:56,040  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2691
 WARN  2018-12-06 08:43:56,237  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2818
 WARN  2018-12-06 08:43:56,263  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2505
 WARN  2018-12-06 08:43:56,398  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2526
 WARN  2018-12-06 08:43:56,474  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3144
 WARN  2018-12-06 08:43:56,923  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2931
 WARN  2018-12-06 08:43:57,025  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2220
 WARN  2018-12-06 08:43:57,034  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2883
 WARN  2018-12-06 08:43:57,041  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1739
 WARN  2018-12-06 08:43:57,131  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2139
 WARN  2018-12-06 08:43:57,368  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1809
 WARN  2018-12-06 08:43:57,372  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2845
 WARN  2018-12-06 08:43:57,411  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2995
 WARN  2018-12-06 08:43:57,416  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3011
 WARN  2018-12-06 08:43:57,602  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2729
 WARN  2018-12-06 08:43:57,786  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2267
 WARN  2018-12-06 08:43:58,032  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2366
 WARN  2018-12-06 08:43:58,039  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1931
 WARN  2018-12-06 08:43:58,111  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3139
 WARN  2018-12-06 08:43:58,223  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2508
 WARN  2018-12-06 08:43:58,368  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3322
 WARN  2018-12-06 08:43:58,377  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3191
 WARN  2018-12-06 08:43:58,488  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2889
 WARN  2018-12-06 08:43:58,647  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3418
 WARN  2018-12-06 08:43:58,870  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3111
 WARN  2018-12-06 08:43:58,932  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2091
 WARN  2018-12-06 08:43:59,065  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4060
 WARN  2018-12-06 08:43:59,134  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2953
 WARN  2018-12-06 08:43:59,249  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3988
 WARN  2018-12-06 08:43:59,256  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3573
 WARN  2018-12-06 08:43:59,284  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3094
 WARN  2018-12-06 08:43:59,395  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3049
 WARN  2018-12-06 08:43:59,403  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3578
 WARN  2018-12-06 08:43:59,451  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2491
 WARN  2018-12-06 08:43:59,458  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2219
 WARN  2018-12-06 08:43:59,571  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4188
 WARN  2018-12-06 08:43:59,716  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3674
 WARN  2018-12-06 08:43:59,774  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2290
 WARN  2018-12-06 08:43:59,794  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4084
 WARN  2018-12-06 08:43:59,880  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3241
 WARN  2018-12-06 08:43:59,905  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3509
 WARN  2018-12-06 08:44:00,069  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4148
 WARN  2018-12-06 08:44:00,099  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4380
 WARN  2018-12-06 08:44:00,275  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2443
 WARN  2018-12-06 08:44:00,314  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4404
 WARN  2018-12-06 08:44:00,390  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3054
 WARN  2018-12-06 08:44:00,393  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3893
 WARN  2018-12-06 08:44:00,446  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4096
 WARN  2018-12-06 08:44:00,517  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3957
 WARN  2018-12-06 08:44:01,637  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2081
 WARN  2018-12-06 08:44:01,876  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2914
 WARN  2018-12-06 08:44:02,021  HypercubeBranchHandler.java  102  Infeasibility detected for node Node946
 WARN  2018-12-06 08:44:02,046  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4227
 WARN  2018-12-06 08:44:02,527  HypercubeBranchHandler.java  102  Infeasibility detected for node Node1455
 WARN  2018-12-06 08:44:02,535  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2846
 WARN  2018-12-06 08:44:02,557  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2475
 WARN  2018-12-06 08:44:02,992  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3069
 WARN  2018-12-06 08:44:03,032  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4213
 WARN  2018-12-06 08:44:03,412  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3743
 WARN  2018-12-06 08:44:03,590  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3352
 WARN  2018-12-06 08:44:03,913  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3367
 WARN  2018-12-06 08:44:04,215  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3543
 WARN  2018-12-06 08:44:04,272  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2821
 WARN  2018-12-06 08:44:04,360  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4892
 WARN  2018-12-06 08:44:04,394  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3105
 WARN  2018-12-06 08:44:04,505  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2576
 WARN  2018-12-06 08:44:04,553  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2950
 WARN  2018-12-06 08:44:04,679  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2566
 WARN  2018-12-06 08:44:04,792  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3141
 WARN  2018-12-06 08:44:04,843  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2378
 WARN  2018-12-06 08:44:04,948  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3297
 WARN  2018-12-06 08:44:05,065  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2506
 WARN  2018-12-06 08:44:05,190  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3481
 WARN  2018-12-06 08:44:05,461  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4424
 WARN  2018-12-06 08:44:05,633  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3577
 WARN  2018-12-06 08:44:05,826  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2891
 WARN  2018-12-06 08:44:05,940  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4565
 WARN  2018-12-06 08:44:06,142  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2180
 WARN  2018-12-06 08:44:06,161  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2057
 WARN  2018-12-06 08:44:06,333  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3854
 WARN  2018-12-06 08:44:06,537  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4480
 WARN  2018-12-06 08:44:06,585  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2587
 WARN  2018-12-06 08:44:06,708  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3425
 WARN  2018-12-06 08:44:06,812  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4191
 WARN  2018-12-06 08:44:06,818  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3544
 WARN  2018-12-06 08:44:07,124  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3006
 WARN  2018-12-06 08:44:07,190  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4712
 WARN  2018-12-06 08:44:07,256  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4725
 WARN  2018-12-06 08:44:07,264  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3334
 WARN  2018-12-06 08:44:07,392  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3613
 WARN  2018-12-06 08:44:07,444  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2864
 WARN  2018-12-06 08:44:07,603  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3397
 WARN  2018-12-06 08:44:07,648  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3847
 WARN  2018-12-06 08:44:07,670  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4660
 WARN  2018-12-06 08:44:07,685  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3746
 WARN  2018-12-06 08:44:07,818  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3958
 WARN  2018-12-06 08:44:08,004  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3672
 WARN  2018-12-06 08:44:08,340  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3430
 WARN  2018-12-06 08:44:08,426  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4672
 WARN  2018-12-06 08:44:08,454  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4788
 WARN  2018-12-06 08:44:08,479  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4995
 WARN  2018-12-06 08:44:08,578  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2833
 WARN  2018-12-06 08:44:08,743  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3768
 WARN  2018-12-06 08:44:08,837  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3308
 WARN  2018-12-06 08:44:08,864  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4182
 WARN  2018-12-06 08:44:08,875  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3773
 WARN  2018-12-06 08:44:08,882  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3864
 WARN  2018-12-06 08:44:08,949  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3943
 WARN  2018-12-06 08:44:09,112  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4025
 WARN  2018-12-06 08:44:09,122  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3186
 WARN  2018-12-06 08:44:09,151  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5123
 WARN  2018-12-06 08:44:09,155  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3333
 WARN  2018-12-06 08:44:09,291  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3230
 WARN  2018-12-06 08:44:09,387  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4039
 WARN  2018-12-06 08:44:09,473  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3965
 WARN  2018-12-06 08:44:09,530  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5251
 WARN  2018-12-06 08:44:09,534  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4342
 WARN  2018-12-06 08:44:09,673  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4199
 WARN  2018-12-06 08:44:09,753  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3686
 WARN  2018-12-06 08:44:09,827  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3108
 WARN  2018-12-06 08:44:09,835  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4438
 WARN  2018-12-06 08:44:09,852  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5308
 WARN  2018-12-06 08:44:10,119  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3549
 WARN  2018-12-06 08:44:10,223  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5192
 WARN  2018-12-06 08:44:10,234  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5379
 WARN  2018-12-06 08:44:10,243  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3781
 WARN  2018-12-06 08:44:10,308  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4479
 WARN  2018-12-06 08:44:10,366  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5109
 WARN  2018-12-06 08:44:10,459  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4598
 WARN  2018-12-06 08:44:10,466  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5205
 WARN  2018-12-06 08:44:10,470  HypercubeBranchHandler.java  102  Infeasibility detected for node Node5320
 WARN  2018-12-06 08:44:10,500  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3873
 WARN  2018-12-06 08:44:10,506  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3909
 WARN  2018-12-06 08:44:10,554  HypercubeBranchHandler.java  102  Infeasibility detected for node Node2183
 WARN  2018-12-06 08:44:10,731  HypercubeBranchHandler.java  102  Infeasibility detected for node Node3454
 WARN  2018-12-06 08:44:10,807  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4313
 WARN  2018-12-06 08:44:10,906  HypercubeBranchHandler.java  102  Infeasibility detected for node Node4726
